,,,,Marketwise Price & Arrival Report (24-02-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 24 Feb, 2026","Price on 23 Feb, 2026","Price on 22 Feb, 2026","Arrival on 24 Feb, 2026","Arrival on 23 Feb, 2026","Arrival on 22 Feb, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2775.00,2354.43,2300.95,2014.23,1378.64,2002.99,1300.80
Cereals,Barley(Jau),1980.00,2086.69,2213.89,2300.00,126.72,78.80,2.10
Cereals,Jowar(Sorghum),3699.00,5138.33,4949.06,-,186.22,287.90,-
Cereals,Maize,2400.00,1550.93,1554.56,1570.41,22361.41,25571.41,2962.72
Cereals,Paddy(Common),2369.00,3382.79,3237.81,2484.56,26234.20,24427.03,6576.42
Cereals,Ragi(Finger Millet),4886.00,5200.00,5196.50,4886.00,0.20,0.40,0.05
Cereals,Wheat,2425.00,2464.92,2457.67,2289.96,36243.19,34028.11,5565.94
Fibre Crops,Cotton,7710.00,7731.62,7712.83,7465.70,8279.42,7339.90,580.46
Oil Seeds,Copra,12100.00,24548.87,20785.02,-,6.22,30.70,-
Oil Seeds,Groundnut,7263.00,8578.27,8827.37,5644.30,2903.47,3492.73,24.30
Oil Seeds,Mustard,5950.00,5910.68,5939.46,6245.72,22095.60,16577.46,1844.85
Oil Seeds,Niger Seed(Ramtil),9537.00,9422.41,8520.00,-,26.80,25.25,-
Oil Seeds,Safflower,5940.00,-,6100.00,-,-,1.80,-
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",9846.00,9539.34,9219.93,7953.14,75.14,85.70,5.25
Oil Seeds,Soyabean,5328.00,5145.90,5053.12,4808.70,6203.23,7114.94,360.43
Oil Seeds,Toria,4650.00,-,5900.00,-,-,12.90,-
Pulses,Arhar(Tur/Red Gram)(Whole),8000.00,7781.16,7865.89,6872.51,3218.60,5382.75,430.90
Pulses,Bengal Gram(Gram)(Whole),5650.00,5442.65,5360.90,5209.47,4766.57,4554.08,410.54
Pulses,Black Gram(Urd Beans)(Whole),7800.00,7327.82,6362.12,6485.30,245.30,697.37,50.76
Pulses,Green Gram(Moong)(Whole),8768.00,7046.28,7298.20,5263.25,403.73,553.24,14.79
Pulses,Lentil(Masur)(Whole),6700.00,6419.29,6508.34,6599.41,1965.78,1784.81,21.91
Vegetables,Onion,-,1196.22,1236.59,1628.10,18132.61,16804.70,2662.65
Vegetables,Potato,-,651.26,617.63,787.60,15046.24,20228.96,6056.75
Vegetables,Tomato,-,1425.28,1464.46,1482.31,3646.45,4076.04,1708.34

